"Step","prior5-4cycle - train_metric","prior5-4cycle - train_metric__MIN","prior5-4cycle - train_metric__MAX"
"0","0.5","0.5","0.5"
"1","0.5","0.5","0.5"
"2","0.5","0.5","0.5"
"3","0.68072","0.68072","0.68072"
"4","0.73144","0.73144","0.73144"
"5","0.72272","0.72272","0.72272"
"6","0.73528","0.73528","0.73528"
"7","0.73512","0.73512","0.73512"
"8","0.72808","0.72808","0.72808"
"9","0.732","0.732","0.732"
"10","0.72728","0.72728","0.72728"
"11","0.7444","0.7444","0.7444"
"12","0.73304","0.73304","0.73304"
"13","0.74008","0.74008","0.74008"
"14","0.74032","0.74032","0.74032"
"15","0.75208","0.75208","0.75208"
"16","0.74808","0.74808","0.74808"
"17","0.7472","0.7472","0.7472"
"18","0.74816","0.74816","0.74816"
"19","0.74536","0.74536","0.74536"
"20","0.74888","0.74888","0.74888"
"21","0.75904","0.75904","0.75904"
"22","0.75064","0.75064","0.75064"
"23","0.7528","0.7528","0.7528"
"24","0.75712","0.75712","0.75712"
"25","0.75968","0.75968","0.75968"
"26","0.74528","0.74528","0.74528"
"27","0.76224","0.76224","0.76224"
"28","0.75856","0.75856","0.75856"
"29","0.77376","0.77376","0.77376"
"30","0.77336","0.77336","0.77336"
"31","0.76944","0.76944","0.76944"
"32","0.77752","0.77752","0.77752"
"33","0.77056","0.77056","0.77056"
"34","0.7704","0.7704","0.7704"
"35","0.7728","0.7728","0.7728"
"36","0.78504","0.78504","0.78504"
"37","0.78032","0.78032","0.78032"
"38","0.77536","0.77536","0.77536"
"39","0.78048","0.78048","0.78048"
"40","0.77744","0.77744","0.77744"
"41","0.76552","0.76552","0.76552"
"42","0.77096","0.77096","0.77096"
"43","0.77672","0.77672","0.77672"
"44","0.77488","0.77488","0.77488"
"45","0.7768","0.7768","0.7768"
"46","0.77608","0.77608","0.77608"
"47","0.77424","0.77424","0.77424"
"48","0.77896","0.77896","0.77896"
"49","0.77792","0.77792","0.77792"
"50","0.77848","0.77848","0.77848"
"51","0.77248","0.77248","0.77248"
"52","0.77776","0.77776","0.77776"
"53","0.77504","0.77504","0.77504"
"54","0.77816","0.77816","0.77816"
"55","0.77312","0.77312","0.77312"
"56","0.7772","0.7772","0.7772"
"57","0.77688","0.77688","0.77688"
"58","0.77632","0.77632","0.77632"
"59","0.7704","0.7704","0.7704"
"60","0.77096","0.77096","0.77096"
"61","0.77304","0.77304","0.77304"
"62","0.776","0.776","0.776"
"63","0.7748","0.7748","0.7748"
"64","0.77296","0.77296","0.77296"
"65","0.77664","0.77664","0.77664"
"66","0.76872","0.76872","0.76872"
"67","0.78048","0.78048","0.78048"
"68","0.78488","0.78488","0.78488"
"69","0.78144","0.78144","0.78144"
"70","0.78144","0.78144","0.78144"
"71","0.77328","0.77328","0.77328"
"72","0.7636","0.7636","0.7636"
"73","0.76336","0.76336","0.76336"
"74","0.76608","0.76608","0.76608"
"75","0.7688","0.7688","0.7688"
"76","0.76968","0.76968","0.76968"
"77","0.77576","0.77576","0.77576"
"78","0.76584","0.76584","0.76584"
"79","0.77136","0.77136","0.77136"
"80","0.75944","0.75944","0.75944"
"81","0.76328","0.76328","0.76328"
"82","0.768","0.768","0.768"
"83","0.7608","0.7608","0.7608"
"84","0.76808","0.76808","0.76808"
"85","0.76624","0.76624","0.76624"
"86","0.77632","0.77632","0.77632"
"87","0.77992","0.77992","0.77992"
"88","0.77304","0.77304","0.77304"
"89","0.76936","0.76936","0.76936"
"90","0.76624","0.76624","0.76624"
"91","0.76256","0.76256","0.76256"
"92","0.7628","0.7628","0.7628"
"93","0.762","0.762","0.762"
"94","0.76664","0.76664","0.76664"
"95","0.76688","0.76688","0.76688"
"96","0.76272","0.76272","0.76272"
"97","0.76776","0.76776","0.76776"
"98","0.76704","0.76704","0.76704"
"99","0.78","0.78","0.78"
"100","0.77944","0.77944","0.77944"
"101","0.7808","0.7808","0.7808"
"102","0.77104","0.77104","0.77104"
"103","0.7728","0.7728","0.7728"
"104","0.76864","0.76864","0.76864"
"105","0.76888","0.76888","0.76888"
"106","0.76848","0.76848","0.76848"
"107","0.76576","0.76576","0.76576"
"108","0.77136","0.77136","0.77136"
"109","0.76208","0.76208","0.76208"
"110","0.7668","0.7668","0.7668"
"111","0.77128","0.77128","0.77128"
"112","0.77368","0.77368","0.77368"
"113","0.76776","0.76776","0.76776"
"114","0.7708","0.7708","0.7708"
"115","0.76952","0.76952","0.76952"
"116","0.77104","0.77104","0.77104"
"117","0.77376","0.77376","0.77376"
"118","0.7712","0.7712","0.7712"
"119","0.76936","0.76936","0.76936"
"120","0.77232","0.77232","0.77232"
"121","0.76896","0.76896","0.76896"
"122","0.7584","0.7584","0.7584"
"123","0.77032","0.77032","0.77032"
"124","0.7704","0.7704","0.7704"
"125","0.76432","0.76432","0.76432"
"126","0.77064","0.77064","0.77064"
"127","0.77224","0.77224","0.77224"
"128","0.76832","0.76832","0.76832"
"129","0.77784","0.77784","0.77784"
"130","0.77472","0.77472","0.77472"
"131","0.7728","0.7728","0.7728"
"132","0.77744","0.77744","0.77744"
"133","0.77584","0.77584","0.77584"
"134","0.77264","0.77264","0.77264"
"135","0.76392","0.76392","0.76392"
"136","0.76456","0.76456","0.76456"
"137","0.76568","0.76568","0.76568"
"138","0.76968","0.76968","0.76968"
"139","0.77296","0.77296","0.77296"
"140","0.77208","0.77208","0.77208"
"141","0.7764","0.7764","0.7764"
"142","0.77288","0.77288","0.77288"
"143","0.77264","0.77264","0.77264"
"144","0.77696","0.77696","0.77696"
"145","0.77424","0.77424","0.77424"
"146","0.7732","0.7732","0.7732"
"147","0.77688","0.77688","0.77688"
"148","0.77192","0.77192","0.77192"
"149","0.77296","0.77296","0.77296"
"150","0.76592","0.76592","0.76592"
"151","0.7692","0.7692","0.7692"
"152","0.77016","0.77016","0.77016"
"153","0.77184","0.77184","0.77184"
"154","0.77744","0.77744","0.77744"
"155","0.7768","0.7768","0.7768"
"156","0.77688","0.77688","0.77688"
"157","0.7788","0.7788","0.7788"
"158","0.7716","0.7716","0.7716"
"159","0.77296","0.77296","0.77296"
"160","0.77352","0.77352","0.77352"
"161","0.77576","0.77576","0.77576"
"162","0.7664","0.7664","0.7664"
"163","0.77272","0.77272","0.77272"
"164","0.77376","0.77376","0.77376"
"165","0.77064","0.77064","0.77064"
"166","0.77008","0.77008","0.77008"
"167","0.76624","0.76624","0.76624"
"168","0.7724","0.7724","0.7724"
"169","0.77032","0.77032","0.77032"
"170","0.76776","0.76776","0.76776"
"171","0.77136","0.77136","0.77136"
"172","0.77352","0.77352","0.77352"
"173","0.77272","0.77272","0.77272"
"174","0.77072","0.77072","0.77072"
"175","0.76816","0.76816","0.76816"
"176","0.76936","0.76936","0.76936"
"177","0.77048","0.77048","0.77048"
"178","0.76712","0.76712","0.76712"
"179","0.774","0.774","0.774"
"180","0.77152","0.77152","0.77152"
"181","0.76608","0.76608","0.76608"
"182","0.77248","0.77248","0.77248"
"183","0.77568","0.77568","0.77568"
"184","0.77264","0.77264","0.77264"
"185","0.77008","0.77008","0.77008"
"186","0.76224","0.76224","0.76224"
"187","0.77","0.77","0.77"
"188","0.77152","0.77152","0.77152"
"189","0.77056","0.77056","0.77056"
"190","0.78176","0.78176","0.78176"
"191","0.77424","0.77424","0.77424"
