"Step","prior10-4cycle - train_metric","prior10-4cycle - train_metric__MIN","prior10-4cycle - train_metric__MAX"
"0","0.47076","0.47076","0.47076"
"1","0.54952","0.54952","0.54952"
"2","0.55664","0.55664","0.55664"
"3","0.55492","0.55492","0.55492"
"4","0.733","0.733","0.733"
"5","0.70852","0.70852","0.70852"
"6","0.70332","0.70332","0.70332"
"7","0.70892","0.70892","0.70892"
"8","0.70964","0.70964","0.70964"
"9","0.70928","0.70928","0.70928"
"10","0.69992","0.69992","0.69992"
"11","0.71804","0.71804","0.71804"
"12","0.71484","0.71484","0.71484"
"13","0.71276","0.71276","0.71276"
"14","0.70908","0.70908","0.70908"
"15","0.7082","0.7082","0.7082"
"16","0.70956","0.70956","0.70956"
"17","0.702","0.702","0.702"
"18","0.7098","0.7098","0.7098"
"19","0.71752","0.71752","0.71752"
"20","0.72452","0.72452","0.72452"
"21","0.7264","0.7264","0.7264"
"22","0.73416","0.73416","0.73416"
"23","0.73468","0.73468","0.73468"
"24","0.73108","0.73108","0.73108"
"25","0.73216","0.73216","0.73216"
"26","0.73204","0.73204","0.73204"
"27","0.72892","0.72892","0.72892"
"28","0.74036","0.74036","0.74036"
"29","0.74536","0.74536","0.74536"
"30","0.76","0.76","0.76"
"31","0.75976","0.75976","0.75976"
"32","0.76048","0.76048","0.76048"
"33","0.75772","0.75772","0.75772"
"34","0.74504","0.74504","0.74504"
"35","0.73864","0.73864","0.73864"
"36","0.72784","0.72784","0.72784"
"37","0.7326","0.7326","0.7326"
"38","0.72812","0.72812","0.72812"
"39","0.72296","0.72296","0.72296"
"40","0.724","0.724","0.724"
"41","0.72128","0.72128","0.72128"
"42","0.71856","0.71856","0.71856"
"43","0.72072","0.72072","0.72072"
"44","0.706","0.706","0.706"
"45","0.71116","0.71116","0.71116"
"46","0.70116","0.70116","0.70116"
"47","0.70396","0.70396","0.70396"
"48","0.70872","0.70872","0.70872"
"49","0.70928","0.70928","0.70928"
"50","0.72472","0.72472","0.72472"
"51","0.7352","0.7352","0.7352"
"52","0.74096","0.74096","0.74096"
"53","0.74412","0.74412","0.74412"
"54","0.74696","0.74696","0.74696"
"55","0.74908","0.74908","0.74908"
"56","0.75352","0.75352","0.75352"
"57","0.74164","0.74164","0.74164"
"58","0.75084","0.75084","0.75084"
"59","0.7424","0.7424","0.7424"
"60","0.75448","0.75448","0.75448"
"61","0.74648","0.74648","0.74648"
"62","0.75108","0.75108","0.75108"
"63","0.7466","0.7466","0.7466"
"64","0.752","0.752","0.752"
"65","0.74908","0.74908","0.74908"
"66","0.75456","0.75456","0.75456"
"67","0.75508","0.75508","0.75508"
"68","0.75296","0.75296","0.75296"
"69","0.74856","0.74856","0.74856"
"70","0.75312","0.75312","0.75312"
"71","0.7542","0.7542","0.7542"
"72","0.75924","0.75924","0.75924"
"73","0.75524","0.75524","0.75524"
"74","0.75872","0.75872","0.75872"
"75","0.75508","0.75508","0.75508"
"76","0.75252","0.75252","0.75252"
"77","0.75736","0.75736","0.75736"
"78","0.75376","0.75376","0.75376"
"79","0.75656","0.75656","0.75656"
"80","0.76096","0.76096","0.76096"
"81","0.76416","0.76416","0.76416"
"82","0.76128","0.76128","0.76128"
"83","0.76216","0.76216","0.76216"
"84","0.7614","0.7614","0.7614"
"85","0.76348","0.76348","0.76348"
"86","0.76888","0.76888","0.76888"
"87","0.76336","0.76336","0.76336"
"88","0.76344","0.76344","0.76344"
"89","0.76352","0.76352","0.76352"
"90","0.75936","0.75936","0.75936"
"91","0.76072","0.76072","0.76072"
"92","0.7626","0.7626","0.7626"
"93","0.7644","0.7644","0.7644"
"94","0.76412","0.76412","0.76412"
"95","0.75756","0.75756","0.75756"
"96","0.76676","0.76676","0.76676"
"97","0.7628","0.7628","0.7628"
"98","0.7642","0.7642","0.7642"
"99","0.76184","0.76184","0.76184"
